"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"495",16,"Payne Durham",TB,"TE72","5","23","2 out of 5 stars","-210"
"496",16,"Tre'Quan Smith",NO,"WR161","11","27","4 out of 5 stars","-"
"497",16,"Justin Watson",KC,"WR162","10","27","2 out of 5 stars","-"
"498",16,"Anthony Schwartz",CLE,"WR163","5","22","3 out of 5 stars","-"
"499",16,"Dee Eskridge",SEA,"WR164","5","26","3 out of 5 stars","-"
"500",16,"Shi Smith",CAR,"WR165","7","24","4 out of 5 stars","-"
"501",16,"Equanimeous St. Brown",CHI,"WR166","13","26","3 out of 5 stars","-"
"502",16,"Dan Arnold",PHI,"TE73","10","28","2 out of 5 stars","-"
"503",16,"Artavis Scott",FA,"WR167","-","28","-","-"
"504",16,"Carson Wentz",FA,"QB54","-","30","-","-"
"505",16,"Demetric Felton Jr.",CLE,"RB140","5","25","3 out of 5 stars","-"
"506",16,"Benny Snell Jr.",FA,"RB141","-","25","-","-"
"507",16,"Darrynton Evans",BUF,"RB142","13","25","2 out of 5 stars","-"
"508",16,"Grant DuBose",GB,"WR168","6","22","3 out of 5 stars","-"
"509",16,"Tyler Johnson",LAR,"WR169","10","24","3 out of 5 stars","-"
"510",16,"Kenny Golladay",FA,"WR170","-","29","-","-"
"511",16,"Marquise Goodwin",CLE,"WR171","5","32","3 out of 5 stars","-"
"512",16,"Ian Thomas",CAR,"TE74","7","27","3 out of 5 stars","-"
"513",16,"Gary Brightwell",NYG,"RB143","13","24","2 out of 5 stars","-"
